Occurred At,DHT-11 Temp,DHT-11 Humidity,BMP-280 Temp,BMP-280 Pressure,BMP-280 Altitude,Weather Condition
"August 5, 2022 at 03:13PM",31.8,62,32.11,97854.36,293.05,Humid
"August 5, 2022 at 03:15PM",31.8,63,32.12,97848.83,293.52,Humid
"August 5, 2022 at 03:16PM",31.8,63,32.08,97848.64,293.54,Humid
"August 5, 2022 at 03:17PM",31.8,63,32.08,97848.64,293.54,Humid
"August 5, 2022 at 03:18PM",31.8,63,32.08,97846.02,293.76,Humid
"August 5, 2022 at 03:20PM",31.8,62,32.02,97842.25,294.08,Humid
"August 5, 2022 at 03:21PM",31.8,63,32.06,97841.75,294.13,Humid
"August 5, 2022 at 03:22PM",31.8,63,32.05,97838.72,294.39,Humid
"August 5, 2022 at 03:23PM",31.8,64,32.06,97836.55,294.57,Humid
"August 5, 2022 at 03:24PM",31.8,64,32,97836.23,294.6,Humid
"August 5, 2022 at 03:25PM",31.8,63,31.96,97834.47,294.75,Humid
"August 5, 2022 at 03:27PM",31.8,64,32.04,97832.77,294.9,Humid
"August 5, 2022 at 03:28PM",31.8,64,32.04,97832.06,294.96,Humid
"August 5, 2022 at 03:29PM",31.8,64,32.13,97831.88,294.97,Humid
"August 5, 2022 at 03:30PM",31.8,63,32.18,97834.2,294.77,Humid
"August 5, 2022 at 03:31PM",31.8,62,32.15,97830.75,295.07,Humid
"August 5, 2022 at 03:33PM",31.8,62,32.12,97835.96,294.62,Humid
"August 5, 2022 at 03:34PM",31.8,62,32.16,97832,294.96,Humid
"August 5, 2022 at 03:35PM",31.8,62,32.17,97830.7,295.07,Humid
"August 5, 2022 at 03:36PM",31.8,62,32.15,97829.34,295.19,Humid
"August 5, 2022 at 03:37PM",31.8,62,32.17,97831.36,295.02,Humid
"August 5, 2022 at 03:39PM",31.8,62,32.2,97832.56,294.91,Humid
"August 5, 2022 at 03:40PM",31.8,62,32.17,97832.4,294.93,Humid
"August 5, 2022 at 03:41PM",31.8,62,32.15,97830.59,295.08,Humid
"August 5, 2022 at 03:42PM",31.8,62,32.2,97827.88,295.31,Humid
"August 5, 2022 at 03:43PM",31.8,62,32.21,97826.55,295.43,Humid
"August 5, 2022 at 03:44PM",31.8,62,32.2,97826.64,295.42,Humid
"August 5, 2022 at 03:46PM",31.8,62,32.21,97825.3,295.54,Humid
"August 5, 2022 at 03:47PM",31.8,62,32.22,97823.28,295.71,Humid
"August 5, 2022 at 03:48PM",31.8,62,32.13,97822.83,295.75,Humid
"August 5, 2022 at 03:49PM",31.8,62,32.16,97821.77,295.84,Humid
"August 5, 2022 at 03:50PM",31.8,62,32.18,97820.65,295.93,Humid
"August 5, 2022 at 03:52PM",31.8,63,32.18,97816.67,296.27,Humid
"August 5, 2022 at 03:53PM",31.8,62,32.15,97815.67,296.36,Humid
"August 5, 2022 at 03:54PM",31.8,62,32.21,97812.16,296.66,Humid
"August 5, 2022 at 03:55PM",31.8,62,32.2,97814.52,296.46,Humid
"August 5, 2022 at 03:56PM",31.8,62,32.08,97815.47,296.38,Humid
"August 5, 2022 at 03:58PM",31.8,62,32.06,97814.31,296.48,Humid
"August 5, 2022 at 03:59PM",31.8,62,32.1,97811.91,296.68,Humid
"August 5, 2022 at 04:00PM",31.8,62,32.03,97810.2,296.83,Humid
"August 5, 2022 at 04:01PM",31.8,62,32.01,97807.32,297.08,Humid
"August 5, 2022 at 04:02PM",31.8,62,32.13,97805.65,297.22,Humid
"August 5, 2022 at 04:03PM",31.8,62,32.06,97807.21,297.09,Humid
"August 5, 2022 at 04:05PM",31.8,62,32.01,97804.38,297.33,Humid
"August 5, 2022 at 04:06PM",31.8,62,32.08,97801.77,297.55,Humid
"August 5, 2022 at 04:07PM",31.8,62,32.07,97800.33,297.67,Humid
"August 5, 2022 at 04:08PM",31.8,62,32.01,97797.78,297.89,Humid
"August 5, 2022 at 04:09PM",31.8,62,31.99,97798,297.87,Humid
"August 5, 2022 at 04:11PM",31.8,62,32.03,97794.41,298.18,Humid
"August 5, 2022 at 04:12PM",31.8,62,31.99,97791.75,298.41,Humid
"August 5, 2022 at 04:13PM",31.8,62,31.96,97792.14,298.38,Humid
"August 5, 2022 at 04:14PM",31.8,62,32.05,97789.67,298.59,Humid
"August 5, 2022 at 04:15PM",31.8,62,32.04,97787.3,298.79,Humid
"August 5, 2022 at 04:16PM",31.8,62,31.96,97786.94,298.82,Humid
"August 5, 2022 at 04:18PM",31.8,62,31.97,97784,299.07,Humid
"August 5, 2022 at 04:19PM",31.8,62,31.99,97780.49,299.37,Humid
"August 5, 2022 at 04:20PM",31.8,62,31.95,97783.92,299.08,Humid
"August 5, 2022 at 04:21PM",31.8,62,31.95,97780.96,299.33,Humid
"August 5, 2022 at 04:22PM",31.8,62,32.02,97779.23,299.48,Humid
"August 5, 2022 at 04:24PM",31.8,62,31.95,97779.28,299.48,Humid
"August 5, 2022 at 04:25PM",31.8,62,31.91,97778.51,299.54,Humid
"August 5, 2022 at 04:26PM",31.8,62,31.96,97778.61,299.54,Humid
"August 5, 2022 at 04:27PM",31.8,63,31.96,97778.78,299.52,Humid
"August 5, 2022 at 04:33PM",31.8,62,31.93,97781.04,299.33,Humid
"August 5, 2022 at 04:34PM",31.8,64,31.92,97783.11,299.15,Humid
"August 5, 2022 at 04:35PM",31.8,64,31.91,97783.21,299.14,Humid
"August 5, 2022 at 04:36PM",31.8,63,30.69,97987.92,281.61,Humid
"August 6, 2022 at 10:12AM",29.8,70,30.7,97988.87,281.53,Humid
"August 6, 2022 at 10:13AM",29.8,70,30.73,97986.09,281.77,Humid
"August 6, 2022 at 10:14AM",29.8,69,30.83,97984.93,281.87,Humid
"August 6, 2022 at 10:15AM",29.8,69,30.87,97984.3,281.92,Humid
"August 6, 2022 at 10:17AM",29.8,69,30.9,97983.47,281.99,Humid
"August 6, 2022 at 10:18AM",30.2,68,30.94,97988.03,281.6,Humid
"August 6, 2022 at 10:19AM",30.2,68,30.97,97984.75,281.89,Humid
"August 6, 2022 at 10:20AM",30.2,67,30.92,97989.28,281.5,Humid
"August 6, 2022 at 10:21AM",30.2,67,30.97,97989.21,281.5,Humid
"August 6, 2022 at 10:23AM",30.2,67,30.98,97990.66,281.38,Humid
